hmm_group,train_total_loglik,train_mean_loglik_per_step,n_sequences,n_steps,n_states,random_state
human,-7065.039779993333,-1.292070186538649,81,5468,3,3
qwen25_vl_3b__chart_only,-264.87276948754277,-1.3177749725748396,19,201,3,4
qwen25_vl_3b__simulation_only,-132.09690553000854,-0.820477674099432,9,161,3,4
qwen25_vl_7b__chart_only,-215.68584724781675,-1.6216980996076447,19,133,3,3
qwen25_vl_7b__simulation_only,-155.1839888523052,-1.2719999086254523,10,122,3,3
qwen35_4b__text_only,-211.9200785398665,-1.4515073872593596,20,146,3,3
qwen35_9b__text_only,-321.94799445049813,-1.60173131567412,20,201,3,2
