episode_id,source,modality,prompt_condition,condition,model,hmm_group_true,hmm_group_scored_by,length,mean_loglik_per_step
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,33,-3.5326209561237683
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,33,-2.6653356989452033
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,33,-2.103267500194961
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,human,30,-1.5684520032456986
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,30,-2.470620220967719
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,30,-3.1171148298510514
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,30,-1.8897216445649825
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,30,-3.5290654309699483
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,30,-2.146442340710516
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,30,-2.27744489690136
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,human,69,-1.3135632501944006
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,69,-3.6315845372017415
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,69,-4.313721244097673
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,69,-2.0701188107175468
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,69,-2.4064719904364757
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,69,-2.384167254537329
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,69,-2.172184270543683
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,human,42,-1.7161533777688367
