type,collection_name,version,aliases,full_name,created_at
episode_data,episode-distance_abbrev_qwen25_3b_10runs-02,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_3b_10runs-02:latest,2026-05-05T18:50:41+00:00
episode_data,episode-distance_abbrev_qwen25_3b_10runs-03,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_3b_10runs-03:latest,2026-05-05T18:50:43+00:00
episode_data,episode-distance_abbrev_qwen25_3b_10runs-04,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_3b_10runs-04:latest,2026-05-05T18:50:54+00:00
episode_data,episode-distance_abbrev_qwen25_3b_10runs-05,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_3b_10runs-05:latest,2026-05-05T18:51:01+00:00
episode_data,episode-distance_abbrev_qwen25_3b_10runs-06,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_3b_10runs-06:latest,2026-05-05T18:51:08+00:00
episode_data,episode-distance_abbrev_qwen25_3b_10runs-07,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_3b_10runs-07:latest,2026-05-05T18:51:37+00:00
episode_data,episode-distance_abbrev_qwen25_3b_10runs-08,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_3b_10runs-08:latest,2026-05-05T18:51:39+00:00
episode_data,episode-distance_abbrev_qwen25_3b_10runs-09,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_3b_10runs-09:latest,2026-05-05T18:51:52+00:00
episode_data,episode-distance_abbrev_qwen25_7b_10runs-00,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_7b_10runs-00:latest,2026-05-05T18:53:19+00:00
episode_data,episode-distance_abbrev_qwen25_7b_10runs-01,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_7b_10runs-01:latest,2026-05-05T18:53:30+00:00
episode_data,episode-distance_abbrev_qwen25_7b_10runs-02,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_7b_10runs-02:latest,2026-05-05T18:53:43+00:00
episode_data,episode-distance_abbrev_qwen25_7b_10runs-03,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_7b_10runs-03:latest,2026-05-05T18:53:52+00:00
episode_data,episode-distance_abbrev_qwen25_7b_10runs-04,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_7b_10runs-04:latest,2026-05-05T18:54:03+00:00
episode_data,episode-distance_abbrev_qwen25_7b_10runs-05,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_7b_10runs-05:latest,2026-05-05T18:54:21+00:00
episode_data,episode-distance_abbrev_qwen25_7b_10runs-06,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_7b_10runs-06:latest,2026-05-05T18:54:33+00:00
episode_data,episode-distance_abbrev_qwen25_7b_10runs-07,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_7b_10runs-07:latest,2026-05-05T18:54:45+00:00
episode_data,episode-distance_abbrev_qwen25_7b_10runs-08,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_7b_10runs-08:latest,2026-05-05T18:54:57+00:00
episode_data,episode-distance_abbrev_qwen25_7b_10runs-09,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen25_7b_10runs-09:latest,2026-05-05T18:55:13+00:00
