type,collection_name,version,aliases,full_name
episode_data,episode-ohm_abbrev_mistral_7b-17,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-17:v0
episode_data,episode-ohm_abbrev_mistral_7b-16,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-16:v0
episode_data,episode-ohm_abbrev_mistral_7b-15,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-15:v0
episode_data,episode-ohm_abbrev_mistral_7b-14,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-14:v0
episode_data,episode-ohm_abbrev_mistral_7b-13,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-13:v0
episode_data,episode-ohm_abbrev_mistral_7b-12,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-12:v0
episode_data,episode-ohm_abbrev_mistral_7b-11,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-11:v0
episode_data,episode-ohm_abbrev_mistral_7b-10,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-10:v0
episode_data,episode-ohm_abbrev_mistral_7b-09,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-09:v0
episode_data,episode-ohm_abbrev_mistral_7b-08,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-08:v0
episode_data,episode-ohm_abbrev_mistral_7b-07,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-07:v0
episode_data,episode-ohm_abbrev_mistral_7b-06,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-06:v0
episode_data,episode-ohm_abbrev_mistral_7b-05,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-05:v0
episode_data,episode-ohm_abbrev_mistral_7b-04,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-04:v0
episode_data,episode-ohm_abbrev_mistral_7b-03,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-03:v0
episode_data,episode-ohm_abbrev_mistral_7b-02,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-02:v0
episode_data,episode-ohm_abbrev_mistral_7b-01,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-01:v0
episode_data,episode-ohm_abbrev_mistral_7b-00,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_mistral_7b-00:v0
episode_data,episode-ohm_abbrev_llama31_8b-29,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-29:v0
episode_data,episode-ohm_abbrev_llama31_8b-28,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-28:v0
episode_data,episode-ohm_abbrev_llama31_8b-27,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-27:v0
episode_data,episode-ohm_abbrev_llama31_8b-26,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-26:v0
episode_data,episode-ohm_abbrev_llama31_8b-25,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-25:v0
episode_data,episode-ohm_abbrev_llama31_8b-24,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-24:v0
episode_data,episode-ohm_abbrev_llama31_8b-23,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-23:v0
episode_data,episode-ohm_abbrev_llama31_8b-22,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-22:v0
episode_data,episode-ohm_abbrev_llama31_8b-21,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-21:v0
episode_data,episode-ohm_abbrev_llama31_8b-20,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-20:v0
episode_data,episode-ohm_abbrev_llama31_8b-19,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-19:v0
episode_data,episode-ohm_abbrev_llama31_8b-18,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-18:v0
episode_data,episode-ohm_abbrev_llama31_8b-17,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-17:v0
episode_data,episode-ohm_abbrev_llama31_8b-16,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-16:v0
episode_data,episode-ohm_abbrev_llama31_8b-15,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-15:v0
episode_data,episode-ohm_abbrev_llama31_8b-14,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-14:v0
episode_data,episode-ohm_abbrev_llama31_8b-13,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-13:v0
episode_data,episode-ohm_abbrev_llama31_8b-12,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-12:v0
episode_data,episode-ohm_abbrev_llama31_8b-11,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-11:v0
episode_data,episode-ohm_abbrev_llama31_8b-10,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-10:v0
episode_data,episode-ohm_abbrev_llama31_8b-09,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-09:v0
episode_data,episode-ohm_abbrev_llama31_8b-08,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-08:v0
episode_data,episode-ohm_abbrev_llama31_8b-07,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-07:v0
episode_data,episode-ohm_abbrev_llama31_8b-06,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-06:v0
episode_data,episode-ohm_abbrev_llama31_8b-05,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-05:v0
episode_data,episode-ohm_abbrev_llama31_8b-04,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-04:v0
episode_data,episode-ohm_abbrev_llama31_8b-03,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-03:v0
episode_data,episode-ohm_abbrev_llama31_8b-02,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-02:v0
episode_data,episode-ohm_abbrev_llama31_8b-01,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-01:v0
episode_data,episode-ohm_abbrev_llama31_8b-00,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_llama31_8b-00:v0
episode_data,episode-ohm_abbrev_qwen35_9b-29,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-29:v0
episode_data,episode-ohm_abbrev_qwen35_9b-28,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-28:v0
episode_data,episode-ohm_abbrev_qwen35_9b-27,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-27:v0
episode_data,episode-ohm_abbrev_qwen35_9b-26,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-26:v0
episode_data,episode-ohm_abbrev_qwen35_9b-25,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-25:v0
episode_data,episode-ohm_abbrev_qwen35_9b-24,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-24:v0
episode_data,episode-ohm_abbrev_qwen35_9b-23,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-23:v0
episode_data,episode-ohm_abbrev_qwen35_9b-22,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-22:v0
episode_data,episode-ohm_abbrev_qwen35_9b-21,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-21:v0
episode_data,episode-ohm_abbrev_qwen35_9b-20,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-20:v0
episode_data,episode-ohm_abbrev_qwen35_9b-19,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-19:v0
episode_data,episode-ohm_abbrev_qwen35_9b-18,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-18:v0
episode_data,episode-ohm_abbrev_qwen35_9b-17,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-17:v0
episode_data,episode-ohm_abbrev_qwen35_9b-16,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-16:v0
episode_data,episode-ohm_abbrev_qwen35_9b-15,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-15:v0
episode_data,episode-ohm_abbrev_qwen35_9b-14,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-14:v0
episode_data,episode-ohm_abbrev_qwen35_9b-13,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-13:v0
episode_data,episode-ohm_abbrev_qwen35_9b-12,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-12:v0
episode_data,episode-ohm_abbrev_qwen35_9b-11,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-11:v0
episode_data,episode-ohm_abbrev_qwen35_9b-10,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_qwen35_9b-10:v0
