episode_id,source,modality,prompt_condition,condition,model,hmm_group_true,hmm_group_scored_by,length,mean_loglik_per_step
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,33,-2.4583441659612832
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,33,-3.1745096932365633
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,33,-3.61154300628206
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,33,-2.2137998710206186
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,33,-3.0378078288285373
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,33,-3.6559194186655155
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,33,-1.8224765162209415
human__ex_bckp3-B-DI_sim1.pkl,human,human,human,human,human,human,human,43,-1.4091700749438816
human__ex_bckp3-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,43,-3.739999495187124
human__ex_bckp3-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,43,-4.676689344381087
human__ex_bckp3-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,43,-4.8632250957560235
human__ex_bckp3-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,43,-2.722708506916295
human__ex_bckp3-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,43,-3.013349845054633
human__ex_bckp3-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,43,-2.6907246754831924
human__ex_bckp3-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,43,-2.3297877865797667
human__ex_bckp3-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,43,-3.1859272911840866
human__ex_bckp3-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,43,-3.1379080781685125
human__ex_bckp3-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,43,-2.217827404903666
human__ex_bckp3-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,43,-5.4784625036489345
human__ex_bckp3-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,43,-1.9722474131341023
human__ex_bckp4-B-DC_sim1.pkl,human,human,human,human,human,human,human,22,-1.8419244239367887
human__ex_bckp4-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,22,-4.792583773578052
human__ex_bckp4-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,22,-4.155147935483832
human__ex_bckp4-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,22,-4.1711169551196114
human__ex_bckp4-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,22,-3.546051810578165
human__ex_bckp4-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,22,-2.537811518251465
human__ex_bckp4-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,22,-2.907817976151353
human__ex_bckp4-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,22,-3.5845017576884786
human__ex_bckp4-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,22,-3.7761393582582543
human__ex_bckp4-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,22,-3.96997488423531
human__ex_bckp4-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,22,-2.7139720306411985
human__ex_bckp4-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,22,-4.528131824578683
human__ex_bckp4-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,22,-2.229403537152621
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,human,33,-1.890539019934834
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,33,-4.764978921730732
