episode_id,source,modality,prompt_condition,condition,model,length,true_hmm_group,pred_hmm_group,is_correct,best_mean_loglik_per_step
human__k1-oas8g9fo_sim1.pkl,human,human,human,human,human,63,human,human,True,-0.9017637317302182
human__k1-oc7xo23m_sim1.pkl,human,human,human,human,human,42,human,human,True,-1.123179480986204
human__k1-oe26stt9_sim1.pkl,human,human,human,human,human,64,human,human,True,-1.2750660022700586
human__k1-og9iomhk_sim1.pkl,human,human,human,human,human,141,human,human,True,-1.3832905548810903
human__k1-oty69e6s_sim1.pkl,human,human,human,human,human,65,human,human,True,-1.3403462699723336
human__k1-p9dyozie_sim1.pkl,human,human,human,human,human,39,human,human,True,-1.6749595926233236
human__k1-pzgsjqi7_sim1.pkl,human,human,human,human,human,87,human,human,True,-1.280568766164159
human__k1-qdfhyyzw_sim1.pkl,human,human,human,human,human,69,human,human,True,-1.2129573402634746
human__k1-qf3zo9v9_sim1.pkl,human,human,human,human,human,33,human,human,True,-1.2987671140302464
human__k1-rjmvg8zc_sim1.pkl,human,human,human,human,human,50,human,human,True,-1.4568013614542468
human__k1-s5i3notu_sim1.pkl,human,human,human,human,human,143,human,human,True,-1.1449577018630184
human__k1-ucyvx7sm_sim1.pkl,human,human,human,human,human,37,human,human,True,-1.2467974681814793
human__k1-udvx42mx_sim1.pkl,human,human,human,human,human,39,human,human,True,-1.388228214443
human__k1-v7mdsvjn_sim1.pkl,human,human,human,human,human,206,human,human,True,-1.1780971736183785
human__k1-v9zq6g87_sim1.pkl,human,human,human,human,human,39,human,human,True,-1.4365847507739362
human__k1-vwau7pb7_sim1.pkl,human,human,human,human,human,81,human,human,True,-1.1978088323185103
human__k1-wiaebcd2_sim1.pkl,human,human,human,human,human,69,human,human,True,-1.1240719589131514
human__k1-wqfzyqb9_sim1.pkl,human,human,human,human,human,46,human,human,True,-2.0301907171724154
human__k1-wtpst52k_sim1.pkl,human,human,human,human,human,77,human,human,True,-1.2406773925864807
human__k1-x7mv42mg_sim1.pkl,human,human,human,human,human,23,human,human,True,-1.5279750709485531
human__k1-xdeddfxs_sim1.pkl,human,human,human,human,human,87,human,human,True,-0.9824050977466814
human__k1-xuydcgqp_sim1.pkl,human,human,human,human,human,73,human,human,True,-1.0379007347878024
human__k1-yjmnv8bt_sim1.pkl,human,human,human,human,human,171,human,human,True,-1.1024780978159388
human__k1-z9itzaam_sim1.pkl,human,human,human,human,human,68,human,human,True,-1.3055050384795106
human__k1-zvm6hs9n_sim1.pkl,human,human,human,human,human,58,human,human,True,-1.259920914380403
human__kate_testing-B-DC_sim1.pkl,human,human,human,human,human,23,human,human,True,-1.5524291016625555
model_000,model,simulation,student,simulation_student,qwen25_vl_3b,5,qwen25_vl_3b__simulation__student,qwen35_4b__text__normal,False,-0.8984944715998807
model_001,model,simulation,student,simulation_student,qwen25_vl_7b,5,qwen25_vl_7b__simulation__student,qwen25_vl_7b__simulation__student,True,-1.614252949100269
model_002,model,simulation,student,simulation_student,qwen25_vl_7b,4,qwen25_vl_7b__simulation__student,qwen25_vl_7b__simulation__student,True,-1.5121114284869004
model_003,model,simulation,student,simulation_student,qwen25_vl_3b,6,qwen25_vl_3b__simulation__student,qwen25_vl_3b__simulation__student,True,-1.4564678653319119
model_004,model,simulation,student,simulation_student,qwen25_vl_3b,4,qwen25_vl_3b__simulation__student,qwen35_4b__text__normal,False,-0.980100422110849
model_005,model,simulation,student,simulation_student,qwen25_vl_7b,3,qwen25_vl_7b__simulation__student,qwen25_vl_3b__chart__normal,False,-0.991498731694256
model_006,model,simulation,student,simulation_student,qwen25_vl_7b,7,qwen25_vl_7b__simulation__student,qwen35_4b__text__normal,False,-1.0781247867284043
model_007,model,simulation,student,simulation_student,qwen25_vl_3b,5,qwen25_vl_3b__simulation__student,qwen25_vl_3b__simulation__student,True,-1.2564165491188983
model_008,model,simulation,student,simulation_student,qwen25_vl_3b,2,qwen25_vl_3b__simulation__student,qwen25_vl_3b__simulation__student,True,-0.8450164062692666
model_009,model,simulation,student,simulation_student,qwen25_vl_3b,5,qwen25_vl_3b__simulation__student,qwen25_vl_3b__chart__student,False,-1.812593883270749
model_010,model,simulation,student,simulation_student,qwen25_vl_7b,5,qwen25_vl_7b__simulation__student,qwen35_4b__text__normal,False,-1.0858880103058781
model_011,model,simulation,student,simulation_student,qwen25_vl_7b,5,qwen25_vl_7b__simulation__student,qwen25_vl_7b__simulation__student,True,-0.8416138852026531
model_012,model,simulation,student,simulation_student,qwen25_vl_3b,4,qwen25_vl_3b__simulation__student,qwen25_vl_7b__simulation__student,False,-0.949619721041266
model_013,model,simulation,student,simulation_student,qwen25_vl_3b,12,qwen25_vl_3b__simulation__student,qwen35_4b__text__normal,False,-1.404622810003615
model_014,model,simulation,student,simulation_student,qwen25_vl_3b,25,qwen25_vl_3b__simulation__student,qwen25_vl_3b__simulation__student,True,-1.2366286977921812
model_015,model,simulation,student,simulation_student,qwen25_vl_7b,5,qwen25_vl_7b__simulation__student,qwen35_4b__text__normal,False,-0.9739825911906331
model_016,model,simulation,student,simulation_student,qwen25_vl_7b,10,qwen25_vl_7b__simulation__student,qwen25_vl_7b__simulation__student,True,-1.3019902958301781
model_017,model,simulation,student,simulation_student,qwen25_vl_7b,3,qwen25_vl_7b__simulation__student,qwen25_vl_3b__chart__normal,False,-0.991498731694256
model_018,model,simulation,student,simulation_student,qwen25_vl_7b,4,qwen25_vl_7b__simulation__student,qwen35_4b__text__normal,False,-0.8189906741392152
model_019,model,chart,student,chart_student,qwen25_vl_3b,9,qwen25_vl_3b__chart__student,qwen25_vl_3b__chart__student,True,-1.5014257954752348
model_020,model,chart,student,chart_student,qwen25_vl_3b,5,qwen25_vl_3b__chart__student,qwen25_vl_3b__chart__student,True,-1.1598819672088472
model_021,model,chart,student,chart_student,qwen25_vl_3b,5,qwen25_vl_3b__chart__student,qwen25_vl_3b__chart__student,True,-1.4488516256370958
model_022,model,chart,student,chart_student,qwen25_vl_3b,8,qwen25_vl_3b__chart__student,qwen25_vl_3b__chart__student,True,-1.746882579687554
model_023,model,chart,student,chart_student,qwen25_vl_7b,3,qwen25_vl_7b__chart__student,qwen25_vl_7b__chart__student,True,-1.296490644471156
model_024,model,chart,student,chart_student,qwen25_vl_7b,10,qwen25_vl_7b__chart__student,qwen25_vl_7b__simulation__student,False,-1.344092121746725
model_025,model,chart,student,chart_student,qwen25_vl_7b,2,qwen25_vl_7b__chart__student,qwen25_vl_3b__simulation__student,False,-0.8450164062692666
model_026,model,chart,student,chart_student,qwen25_vl_7b,4,qwen25_vl_7b__chart__student,qwen25_vl_7b__chart__student,True,-1.5274207187395248
model_027,model,chart,student,chart_student,qwen25_vl_3b,5,qwen25_vl_3b__chart__student,qwen25_vl_3b__simulation__normal,False,-0.7480816580847776
model_028,model,chart,student,chart_student,qwen25_vl_3b,7,qwen25_vl_3b__chart__student,qwen25_vl_3b__chart__student,True,-1.2098306971161328
model_029,model,chart,student,chart_student,qwen25_vl_3b,7,qwen25_vl_3b__chart__student,qwen25_vl_3b__chart__student,True,-1.640829856015987
model_030,model,chart,student,chart_student,qwen25_vl_3b,6,qwen25_vl_3b__chart__student,qwen25_vl_3b__chart__student,True,-1.3335054265544584
model_031,model,chart,student,chart_student,qwen25_vl_3b,7,qwen25_vl_3b__chart__student,qwen25_vl_3b__chart__student,True,-1.110497778804141
model_032,model,chart,student,chart_student,qwen25_vl_7b,3,qwen25_vl_7b__chart__student,qwen25_vl_7b__chart__student,True,-1.483816574432855
model_033,model,chart,student,chart_student,qwen25_vl_7b,5,qwen25_vl_7b__chart__student,qwen35_4b__text__normal,False,-1.0006824651309563
model_034,model,chart,student,chart_student,qwen25_vl_7b,6,qwen25_vl_7b__chart__student,qwen25_vl_7b__chart__student,True,-1.516778875665504
model_035,model,chart,student,chart_student,qwen25_vl_7b,3,qwen25_vl_7b__chart__student,qwen25_vl_3b__chart__normal,False,-0.991498731694256
model_036,model,chart,student,chart_student,qwen25_vl_7b,4,qwen25_vl_7b__chart__student,qwen25_vl_3b__chart__student,False,-1.1341275414385679
model_037,model,chart,student,chart_student,qwen25_vl_3b,11,qwen25_vl_3b__chart__student,qwen25_vl_3b__chart__student,True,-1.2856467358776458
model_038,model,simulation,normal,simulation_normal,qwen25_vl_7b,7,qwen25_vl_7b__simulation__normal,qwen25_vl_3b__simulation__normal,False,-0.5763884893132004
model_039,model,simulation,normal,simulation_normal,qwen25_vl_3b,8,qwen25_vl_3b__simulation__normal,qwen25_vl_3b__simulation__normal,True,-0.7580033755469652
model_040,model,simulation,normal,simulation_normal,qwen25_vl_7b,3,qwen25_vl_7b__simulation__normal,qwen25_vl_3b__chart__normal,False,-0.991498731694256
model_041,model,simulation,normal,simulation_normal,qwen25_vl_7b,9,qwen25_vl_7b__simulation__normal,qwen35_9b__text__normal,False,-1.024651981646465
model_042,model,simulation,normal,simulation_normal,qwen25_vl_3b,29,qwen25_vl_3b__simulation__normal,qwen25_vl_3b__simulation__normal,True,-0.6600043582962087
model_043,model,simulation,normal,simulation_normal,qwen25_vl_7b,14,qwen25_vl_7b__simulation__normal,qwen25_vl_3b__simulation__normal,False,-1.3886617931748206
model_044,model,simulation,normal,simulation_normal,qwen25_vl_3b,12,qwen25_vl_3b__simulation__normal,qwen25_vl_7b__simulation__normal,False,-0.8848877986711904
model_045,model,simulation,normal,simulation_normal,qwen25_vl_7b,4,qwen25_vl_7b__simulation__normal,qwen25_vl_7b__simulation__normal,True,-0.8502824580883839
model_046,model,simulation,normal,simulation_normal,qwen25_vl_7b,10,qwen25_vl_7b__simulation__normal,qwen25_vl_7b__simulation__normal,True,-1.2786475934498238
model_047,model,simulation,normal,simulation_normal,qwen25_vl_3b,6,qwen25_vl_3b__simulation__normal,qwen35_4b__text__normal,False,-0.9069972709182048
model_048,model,simulation,normal,simulation_normal,qwen25_vl_7b,15,qwen25_vl_7b__simulation__normal,qwen25_vl_7b__simulation__normal,True,-1.2460163770363217
model_049,model,simulation,normal,simulation_normal,qwen25_vl_3b,5,qwen25_vl_3b__simulation__normal,qwen25_vl_3b__simulation__normal,True,-0.7480816580847776
model_050,model,simulation,normal,simulation_normal,qwen25_vl_3b,47,qwen25_vl_3b__simulation__normal,qwen25_vl_3b__simulation__normal,True,-0.7052287978200715
